State / UT,Population,Rural population,Urban population,Area,Density(/sq km),Gender Ratio
Uttar Pradesh,199812341,155317278,44495063,"240,928 km2 (93,023 sq mi)",828,912
Maharashtra,112374333,61556074,50818259,"307,713 km2 (118,809 sq mi)",365,929
Bihar,104099452,92341436,11758016,"94,163 km2 (36,357 sq mi)",1102,918
West Bengal,91276115,62183113,29093002,"88,752 km2 (34,267 sq mi)",1029,953
Madhya Pradesh,72626809,52557404,20069405,"308,245 km2 (119,014 sq mi)",236,931
Tamil Nadu,72147030,37229590,34917440,"130,058 km2 (50,216 sq mi)",555,996
Rajasthan,68548437,51500352,17048085,"342,239 km2 (132,139 sq mi)",201,928
Karnataka,61095297,37469335,23625962,"191,791 km2 (74,051 sq mi)",319,973
Gujarat,60439692,34694609,25745083,"196,024 km2 (75,685 sq mi)",308,919
Andhra Pradesh,49577103,34966693,14610410,"162,968 km2 (62,922 sq mi)",303,993
Odisha,41974218,34970562,7003656,"155,707 km2 (60,119 sq mi)",269,979
Telengana,35003674,21395009,13608665,"112,077 km2 (43,273 sq mi)",312,988
Kerala,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)",859,1084
Jharkhand,32988134,25055073,7933061,"79,714 km2 (30,778 sq mi)",414,948
Assam,31205576,26807034,4398542,"78,438 km2 (30,285 sq mi)",397,954
Punjab,27743338,17344192,10399146,"50,362 km2 (19,445 sq mi)",550,895
Chhattisgarh,25545198,19607961,5937237,"135,191 km2 (52,198 sq mi)",189,991
Haryana,25351462,16509359,8842103,"44,212 km2 (17,070 sq mi)",573,879
Uttarakhand,10086292,7036954,3049338,"53,483 km2 (20,650 sq mi)",189,963
Himachal Pradesh,6864602,6176050,688552,"55,673 km2 (21,495 sq mi)",123,972
Tripura,3673917,2712464,961453,"10,486 km2 (4,049 sq mi)",350,960
Manipur,2570390,1793875,776515,"22,327 km2 (8,621 sq mi)",122,992
Goa,1458545,551731,906814,"3,702 km2 (1,429 sq mi)",394,973
Arunachal Pradesh,1383727,1066358,317369,"83,743 km2 (32,333 sq mi)",17,938
Mizoram,1097206,525435,571771,"21,081 km2 (8,139 sq mi)",52,976
Delhi,16787941,419042,16368899,"1,484 km2 (573 sq mi)",11297,868
Jammu and Kashmir,12267032,9064220,3202812,"125,535 km2 (48,469 sq mi)",98,890
Puducherry,1247953,395200,852753,479 km2 (185 sq mi),2598,1037
Chandigarh,1055450,28991,1026459,114 km2 (44 sq mi),9252,818
Andaman and Nicobar Islands,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46,876
Ladakh,274000,43840,230160,"96,701 km2 (37,336 sq mi)",2.8,853
